,extension,LGP,XL,3B,4F,location,working_hours,price,const_year
513,N,0,1,0,0,NL,11000,56900,2007
514,,1,0,0,0,NL,1200,285000,2019
515,K,0,0,0,0,DE,3570,139900,2017
516,R,1,0,0,0,CH,10032,89500,2002
518,R,0,1,0,0,LU,8121,90000,2006
519,N,1,0,0,0,LU,18743,65600,2012
520,N,1,0,0,0,LU,7950,63600,2006
521,T,1,0,0,0,DE,7935,117000,2013
522,T,1,0,0,0,DE,8560,127500,2015
523,N,1,0,0,0,DE,1445,235000,2018
524,N,1,0,0,0,DE,10997,99500,2012
525,N,1,0,0,0,DE,10189,99600,2012
526,N,1,0,0,0,LU,12489,79900,2010
527,R,1,0,0,0,LU,8521,69500,2005
528,T,0,1,0,0,LU,9668,117900,2015
529,R,1,0,0,0,LU,14367,75000,2012
530,T,1,0,0,0,LU,7581,114600,2014
532,N,1,0,0,0,LU,5586,117000,2014
533,N,1,0,0,0,IT,6322,160000,2017
534,N,0,0,0,0,IT,8649,120000,2015
535,K,0,0,0,0,DE,440,185000,2018
537,K,0,0,0,0,DE,2,145000,2018
538,T,0,0,0,0,DE,6,188200,2016
539,K,0,0,0,0,DE,5,129900,2017
540,T,0,0,0,0,DE,8,129000,2014
541,N,0,0,0,0,DE,4,136000,2014
542,N,1,0,0,0,AT,11,61800,2007
543,R,1,0,0,0,FR,13,55000,2007
544,N,1,0,0,0,FR,5,195000,2017
545,N,1,0,0,0,FR,3,180000,2014
546,T,1,0,0,0,SE,10,103333,2010
547,R,0,0,0,0,RU,16,119113,2017
548,N,1,0,0,0,PL,3,224000,2019
549,T,0,0,0,0,PT,8,134000,2008
550,R,0,1,0,0,FR,12,67000,2007
551,R,0,1,0,0,FR,11,75000,2007
552,N,1,0,0,0,PL,6,175870,2016
553,R,0,0,0,0,RU,9,156720,2014
554,N,1,0,0,0,PL,5,149000,2014
555,R,0,1,0,0,PT,14,120000,2005
556,K,1,0,0,0,UK,3,116400,2015
557,N,0,1,0,1,FR,1,250000,2019
558,N,1,0,0,0,PL,3,209627,2017
559,N,1,0,0,0,PL,2,209000,2019
560,K,0,0,0,0,DE,3,139900,2017
561,N,0,0,0,0,DE,4,175000,2017
