,working_hours,location,model,const_year,extension,price
417,5647,FI,320,2017,F,110000
418,2300,HU,320,2017,F,120000
419,6719,UK,320,2018,NG,89249
420,6990,PL,320,2015,E,95833
421,9990,PL,320,2013,E,76666
422,4440,FR,320,2016,F,135000
423,2664,PL,320,2018,NG,132000
424,2755,PL,320,2019,NG,122000
425,11054,GB,320,2008,D,53033
426,13000,TR,320,2011,D,52000
427,14725,PL,320,2013,E,137000
428,3713,NL,320,2019,D3,78900
429,6304,FR,320,2013,E,94000
430,10781,NL,320,2013,E,66000
431,8221,NL,320,2013,D,49750
432,9690,NL,320,2011,D,47000
433,10650,NL,320,2010,D,57000
434,11100,BE,320,2012,E,56500
435,10563,PL,320,2015,E,62280
436,7900,PL,320,2015,E,76000
437,6006,PL,320,2011,E,59700
438,7200,PL,320,2005,C,35500
439,6226,PL,320,2015,E,83750
440,7789,PL,320,2016,E,83540
441,1400,DE,320,2018,E,88500
442,1940,DE,320,2018,NG,119500
443,6821,DE,320,2017,F,84000
444,6386,DE,320,2014,E,79900
445,10078,NL,320,2014,E,59800
446,1298,DE,320,2019,NG,149500
447,2350,BE,320,2016,D2,80000
448,14914,BE,320,2013,D2,10000
449,954,NL,320,2018,NG,97800
450,2710,NL,320,2018,NG,89800
451,6437,NL,320,2016,E,79800
452,12661,NL,320,2008,D,45800
453,10416,FR,320,2008,D,13899
454,9103,NL,320,2008,D,45000
455,9172,TR,320,2014,D,73900
456,6872,UA,320,2015,E,84500
457,13597,NL,320,2005,C,34800
458,7520,DE,320,2014,E,69000
459,6500,HU,320,2016,E,79500
460,20000,PL,320,2011,D,41000
461,8700,FR,320,2011,D,84000
462,9000,RO,320,2011,D,42900
463,5000,DE,320,2016,F,19500
464,8900,DE,320,2013,E,62900
465,4400,PL,320,2013,E,110000
466,2459,PL,320,2015,E,84127
467,10895,HU,320,2014,E,82750
468,5800,FR,320,2015,E,90000
469,5600,PL,320,2010,D,75000
470,2799,NL,320,2018,D3,84900
471,9547,NL,320,2005,C,42000
472,10312,NL,320,2006,C,42000
473,6771,CH,320,2014,E,81203
474,8388,DE,320,2014,E,85000
475,5968,DE,320,2014,E,120000
476,10517,DE,320,2007,D,51000
477,2000,DE,320,2017,NG,105000
478,8091,DE,320,2016,F,85000
479,3869,DE,320,2018,NG,149000
480,3308,DE,320,2018,NG,155000
481,7804,NO,320,2014,E,85019
482,1346,HU,320,2019,NG,129900
483,8839,NL,320,2017,D2,66500
484,5888,UA,320,2015,E,110000
485,2225,PL,320,2017,F,135000
486,3738,FI,320,2016,F,126800
487,3950,SE,320,2014,E,107579
488,6761,BE,320,2013,E,65950
489,9346,NO,320,2011,E,73165
490,8000,PL,320,2014,E,69972
