,working_hours,location,model,extension,const_year,price
735,8800,BE,323,D,2008,55000
736,12200,NL,323,D,2010,49900
737,11500,DE,323,E,2013,66900
738,11241,SE,323,D,2008,45804
739,6733,DE,323,D,2009,77000
740,9216,NL,323,D,2009,51500
741,18849,AT,323,D,2008,45850
742,9576,NL,323,D,2011,57000
743,12530,IT,323,D,2008,35000
744,6547,DE,323,F,2017,92000
745,8911,PL,323,D,2011,71600
746,3900,PT,323,F,2019,140000
747,17786,NL,323,D,2008,45900
748,8920,PL,323,E,2012,53412
749,10000,PL,323,D,2007,40000
750,15000,NL,323,D,2010,46900
751,3510,SK,323,F,2017,139000
752,12329,NL,323,D,2009,53900
753,12558,NL,323,D,2008,48500
754,3463,NL,323,D3,2020,89800
755,9371,BE,323,D,2010,54000
756,1579,ES,323,F,2018,148000
757,7276,DE,323,E,2012,64000
758,4542,FR,323,E,2016,145000
759,13279,NL,323,D,2007,51900
760,4277,DE,323,NG,2018,169000
761,8200,PL,323,E,2012,72000
762,15094,PL,323,E,2014,62230
763,8600,PL,323,D,2011,55430
764,12120,CZ,323,D,2008,49610
