,extension,L,RR,LR,GC,location,working_hours,price,const_year
367,D,0,0,0,0,NL,15801,51900,2011
368,E,1,0,0,0,FR,3588,114000,2013
369,F,0,0,0,0,DE,7780,95000,2015
370,F,1,0,0,0,DE,2262,109900,2017
371,E,0,0,0,0,BE,7893,69500,2015
372,NG,0,0,0,1,DE,1730,110500,2017
373,E,1,0,0,0,AT,5021,76300,2015
374,E,0,0,0,0,PL,5300,79000,2015
375,E,1,0,0,0,NL,9740,69950,2013
376,F,1,0,0,0,BE,2190,119900,2017
377,E,1,0,0,0,BE,5100,87500,2014
378,E,1,0,0,0,PL,4050,119000,2016
379,D,1,0,0,0,PL,9500,44000,2008
380,E,0,0,0,0,FR,6840,80000,2015
381,C,1,0,0,0,NL,9036,55900,2005
382,D,1,0,0,0,NL,13466,51500,2010
383,E,0,0,0,0,DE,8150,69500,2012
384,E,1,0,0,0,DE,9364,67000,2014
385,E,1,0,0,0,DE,5692,79000,2015
386,E,1,1,0,0,DE,4602,89500,2015
387,E,1,0,0,0,NL,2701,115000,2015
388,D,1,0,0,0,NL,12499,42800,2006
389,D,1,0,0,0,NL,13272,45000,2008
390,E,0,0,0,0,LT,10137,65000,2012
391,D,1,0,0,0,RO,10000,59000,2011
392,C,1,0,1,0,NL,8445,59800,2004
393,E,1,0,0,0,NL,9390,71500,2013
394,E,0,0,0,0,LT,6000,60500,2016
395,F,1,0,0,0,NL,4957,86600,2017
396,D,0,1,0,0,RU,7285,67370,2007
397,D,0,0,0,0,RU,6626,84130,2013
398,D,0,0,0,0,RU,7260,75960,2012
399,D,0,1,0,0,RU,7633,69920,2008
400,D,0,1,0,0,RU,8655,72030,2008
401,D,0,0,0,0,RU,4904,92710,2012
402,D,0,0,0,0,RU,5760,58450,2010
403,D,1,0,0,0,RU,11318,59620,2009
404,D,1,1,0,0,RU,11027,62140,2006
405,E,0,0,0,0,BE,6761,69950,2015
406,D,0,0,0,0,RU,8903,53260,2007
407,C,0,0,0,0,RU,10448,52200,2002
408,D,1,0,0,0,NL,14530,42500,2009
409,E,1,0,0,0,LT,5000,72000,2016
410,D,0,0,0,0,NL,12596,42500,2008
411,E,1,1,0,0,NO,9448,93879,2015
412,E,1,1,0,0,NO,6000,96660,2015
413,C,1,0,0,0,NL,9765,35000,2004
414,D,1,0,0,0,LV,13000,50000,2008
415,E,0,0,0,0,FR,8500,85000,2014
416,D,1,0,0,0,NL,9876,45000,2008
417,C,1,0,0,0,NL,9624,42000,2006
419,E,1,1,0,0,FR,6345,85900,2015
420,D,1,0,0,0,NL,15200,45500,2007
421,D,1,0,0,0,NL,18200,42000,2008
422,NG,0,0,0,1,LT,3239,125000,2018
423,E,1,0,0,0,ES,8800,89000,2015
424,E,1,0,0,0,DE,4313,78950,2013
425,D,1,0,0,0,NL,16000,45000,2009
426,D3,0,0,0,0,NL,3577,86800,2019
427,E,0,0,0,0,RO,6400,68000,2012
428,D,1,1,0,0,FI,11500,63900,2011
429,F,1,0,0,0,PL,7107,85000,2017
430,D2,0,0,0,0,NL,2480,91800,2018
431,E,1,1,0,0,AT,10573,64900,2013
432,D,1,0,0,0,NL,10117,55000,2008
433,E,1,0,0,0,NL,10035,69500,2014
434,D,1,0,0,0,DE,6000,89500,2011
435,E,1,0,0,0,DE,2561,138500,2013
436,C,1,0,0,0,DE,10500,31900,2005
437,,0,0,0,0,DE,1700,78500,2017
438,E,1,0,0,0,NL,7466,67800,2014
439,E,1,0,0,0,DE,5375,98900,2015
440,NG,0,0,0,0,DE,2656,140000,2018
441,E,1,0,0,0,NO,8700,77310,2014
442,,1,0,1,0,NO,7400,91820,2015
443,D,1,0,0,0,TR,8680,50000,2012
444,E,1,0,0,0,BE,8900,69000,2012
445,E,1,0,0,0,EE,7350,76000,2013
446,E,1,0,0,0,LT,3000,75000,2015
447,D,0,0,0,0,TR,16000,47900,2008
448,E,1,0,0,0,BE,4700,108900,2016
449,E,1,0,0,0,BE,5700,87500,2014
450,F,1,0,0,0,BE,4250,116900,2017
451,F,1,0,0,0,BE,3200,119900,2017
452,E,1,0,0,0,BE,10407,57000,2013
453,F,1,0,0,0,BE,3580,119000,2016
454,F,1,0,0,0,EE,6136,90000,2017
455,NG,0,0,0,1,PL,1534,144000,2019
456,NG,0,0,0,0,PL,1791,141000,2018
458,F,0,0,0,0,FR,2218,145000,2017
459,F,0,0,0,0,FR,3531,137000,2017
460,E,1,0,1,0,PL,3089,99000,2014
461,D3,0,0,0,0,NL,3929,84900,2018
